Variation,Cycle,Time (s),T_gob (Parison Temperature),T_mold (Mold Temperature),t_contact (°),t_cooling (°)
-10% Cooling,60,801.6000000000006,976.16343459774,382.6294931156224,106.0,108.0
-10% Cooling,61,814.9600000000006,976.1746179307988,382.63947973770445,106.0,108.0
-10% Cooling,62,828.3200000000006,976.1851107119165,382.6488524324936,106.0,108.0
-10% Cooling,63,841.6800000000006,976.1949558822336,382.65764904718344,106.0,108.0
-10% Cooling,64,855.0400000000006,976.2041936759556,382.6659050829524,106.0,108.0
-10% Cooling,65,868.4000000000007,976.2128617955344,382.67365384194386,106.0,108.0
-10% Cooling,66,881.7600000000007,976.2209955748715,382.6809265648493,106.0,108.0
-10% Cooling,67,895.1200000000007,976.2286281316398,382.68775255971514,106.0,108.0
-10% Cooling,68,908.4800000000007,976.2357905092439,382.6941593225544,106.0,108.0
-10% Cooling,69,921.8400000000007,976.242511809391,382.70017265030447,106.0,108.0
-10% Cooling,70,935.2000000000007,976.2488193158696,382.7058167466295,106.0,108.0
-10% Cooling,71,948.5600000000007,976.2547386101411,382.7111143210349,106.0,108.0
-10% Cooling,72,961.9200000000008,976.260293679329,382.71608668173127,106.0,108.0
-10% Cooling,73,975.2800000000008,976.2655070171272,382.7207538226505,106.0,108.0
-10% Cooling,74,988.6400000000008,976.2703997181426,382.7251345049929,106.0,108.0
-10% Cooling,75,1002.0000000000008,976.2749915661902,382.7292463336524,106.0,108.0
-10% Cooling,76,1015.3600000000008,976.2793011166808,382.733105828857,106.0,108.0
-10% Cooling,77,1028.7200000000007,976.2833457739127,382.7367284933244,106.0,108.0
-10% Cooling,78,1042.0800000000006,976.2871418632437,382.74012887521764,106.0,108.0
-10% Cooling,79,1055.4400000000005,976.2907046986968,382.74332062717724,106.0,108.0
-10% Cooling,80,1068.8000000000004,976.2940486462563,382.7463165616629,106.0,108.0
-10% Cooling,81,1082.1600000000003,976.2971871831237,382.7491287028565,106.0,108.0
-10% Cooling,82,1095.5200000000002,976.3001329530758,382.7517683353331,106.0,108.0
-10% Cooling,83,1108.88,976.3028978186171,382.75424604970164,106.0,108.0
-10% Cooling,84,1122.24,976.3054929094453,382.7565717854186,106.0,108.0
-10% Cooling,85,1135.6,976.3079286681593,382.75875487093816,106.0,108.0
-10% Cooling,86,1148.9599999999998,976.3102148929223,382.7608040613767,106.0,108.0
-10% Cooling,87,1162.3199999999997,976.3123607775063,382.76272757383884,106.0,108.0
-10% Cooling,88,1175.6799999999996,976.3143749487607,382.76453312056145,106.0,108.0
-10% Cooling,89,1189.0399999999995,976.3162655018175,382.76622794000264,106.0,108.0
-10% Cooling,90,1202.3999999999994,976.3180400330315,382.76781882600636,106.0,108.0
-10% Cooling,91,1215.7599999999993,976.3197056707646,382.7693121551712,106.0,108.0
-10% Cooling,92,1229.1199999999992,976.3212691045217,382.7707139125189,106.0,108.0
-10% Cooling,93,1242.479999999999,976.3227366119385,382.7720297155853,106.0,108.0
-10% Cooling,94,1255.839999999999,976.3241140843143,382.77326483702075,106.0,108.0
-10% Cooling,95,1269.199999999999,976.3254070504548,382.77442422579844,106.0,108.0
-10% Cooling,96,1282.5599999999988,976.3266206991036,382.77551252710805,106.0,108.0
-10% Cooling,97,1295.9199999999987,976.3277598998333,382.776534101035,106.0,108.0
-10% Cooling,98,1309.2799999999986,976.3288292228431,382.7774930400771,106.0,108.0
-10% Cooling,99,1322.6399999999985,976.3298329573767,382.7783931855857,106.0,108.0
-10% Cooling,100,1335.9999999999984,976.3307751289902,382.7792381431999,106.0,108.0
